episode,expected_return,runtime
1,-7863.388881134955,4.825861275000534
2,-7820.676618843405,4.8918795710005725
3,-7894.723046063834,4.893359364000389
4,-7949.197845354738,4.9294773280007576
5,-7838.324965231291,4.888998313999764
6,-7715.726717597838,4.893940492999718
7,-7730.61052656096,4.915924607999841
8,-7689.007715245887,4.8959063080001215
9,-7778.444486027993,4.857911191000312
10,-7664.095237580319,4.878399568000532
11,-7610.649229464605,4.887435460000233
12,-7694.567718254819,4.891796708000584
13,-7913.665715332925,4.8933385079999425
14,-7708.055977999574,4.903677371000413
15,-7717.206781949321,4.871438553000189
16,-7787.873293833372,4.913152050999997
17,-7755.745211699547,4.888074272999802
18,-7786.024166902527,4.861991341999783
19,-7865.43495058985,4.890447275999577
20,-7702.438703059178,4.8921816290003335
21,-7740.960562920878,4.926769069000329
22,-82784.80540643873,3.0117786760001763
23,-20757.751748197697,3.094607797000208
24,-55698.57732138908,3.0612086029996135
25,-48841.7628647644,2.9987994439998147
26,-24944.709385561408,2.867652721000013
27,-13764.597133967036,2.7515600750002704
28,-13766.719607231937,3.0477498129994274
29,-9755.299987768998,3.077906656999403
30,-11658.025671785621,3.0471607310000763
31,-16231.59251028792,3.055365919999531
32,-10063.92162707672,3.0580026170000565
33,-10147.108454679885,3.0326276129999314
34,-5768.6425524718115,3.0590399249995244
35,-12275.826927619484,2.8545886619995144
36,-7906.933195330834,3.043344849999812
37,-17101.3011004348,2.9838979469996048
38,-13181.860896627359,2.9829305990006105
39,-11917.817284365447,2.9833298430003197
40,-7010.5106086420055,2.9883751730003496
41,-6434.21441062373,3.0888826089994836
42,-13286.271264144943,3.009723426000164
43,-4804.647117612161,3.0281434469998203
44,-6373.8500326109115,2.9908198660004928
45,-9657.493250751824,2.9931449610003256
46,-9451.732398372453,2.948101544000565
47,-6501.300814473915,2.994000222000068
48,-16369.430276621013,3.006427597999391
49,-16098.278506774177,3.025224486999832
50,-14559.79180486485,2.9979201239993927
51,-12114.105854684227,2.9958339749991865
52,-9050.75605434482,3.065541177999876
53,-13668.872974381171,3.038955571999395
54,-18173.98887772932,3.0353285080000205
55,-20541.70950865491,3.0740120480004407
56,-14878.534820766363,3.0537589830000798
57,-6912.666361898111,3.0381700140005705
58,-4401.944466856021,3.040168911999899
59,-4003.77857831483,2.9190446900001916
60,-3535.0181654330554,2.976308039000287
61,-3958.2530156260127,2.9908615429994825
62,-4042.118586828118,3.053490511999371
63,-4165.014147799841,2.9471816820005188
64,-3706.197419857537,3.0071913900001164
65,-3826.796898522435,2.9758837809995384
66,-3685.1045718887126,3.072424762999617
67,-3945.6099089875693,3.006772591000299
68,-4507.14664496262,2.9622798640002657
69,-6502.801365857667,3.04698620399995
70,-5514.698998199505,3.049444279000454
71,-6032.910886627368,2.955382352000015
72,-6379.2101954084765,3.039591505000317
73,-5771.869790260151,2.9884600129998944
74,-5072.197478397995,3.0310777699996834
75,-5196.788591220707,3.0379983060001905
76,-4800.895686163677,3.056028635000075
77,-5171.294186147827,3.0346850719997747
78,-4924.777874593205,3.0600143820001904
79,-6616.342857644058,3.035833267000271
80,-5031.764900453619,3.0289430820002963
81,-4419.782777067587,3.039738135999869
82,-3977.7172813561915,3.0249351149996073
83,-3645.160004811051,3.0275383759999386
84,-3611.1031712336817,2.9675376110008074
85,-3832.1410085850957,3.0040279280001414
86,-3400.8229966677754,2.9322621990004336
87,-3409.2199801400834,3.0733067749997645
88,-3792.858222728153,3.008310313000038
89,-4937.509644386202,2.962308865000523
90,-3385.08217249,3.0689493720001337
91,-3283.07216160839,2.9793192420002015
92,-3251.716358177797,3.063817272000051
93,-3673.5471638542676,2.995221773000594
94,-3361.1946894964176,2.910970597999949
95,-3128.1813033145536,2.999840974000108
96,-3040.3073133011694,2.9127956729998914
97,-3133.8369431545475,2.9785772679997535
98,-3126.3463176142604,3.015359644000455
99,-3333.7404114373453,2.9595668339998156
100,-3349.775172134086,3.0220158510001056
101,-3134.3259913722413,2.98095075800029
102,-3263.00779190103,2.9470556800006307
103,-3132.0020354678986,2.8840841660003207
104,-3182.729146822551,2.8515423480002937
105,-23713.82905401283,3.0298622239997712
106,-2994.9923593075146,3.007472334999875
107,-4243.932499345494,2.9665542540005845
108,-2945.8341092167448,2.494693157999791
109,-3191.253734936159,3.0263195400002587
110,-3107.2023825766437,2.4548509399992327
111,-3186.079738621247,3.013333566000256
112,-3140.9476800256543,3.025389654999344
113,-3144.205730869073,3.040256078999846
114,-2879.297014945804,2.9944573990005665
115,-3240.903540356318,3.0821253569993132
116,-3098.696983253316,3.031377551999867
117,-2762.2921798507064,3.085217014000591
118,-2831.454317812795,3.032183697000619
119,-13153.312052499103,3.0903092349999497
120,-2955.74489201369,2.9847699420006393
121,-3041.0717833358844,2.963598498000465
122,-2842.989182530639,2.979835471000115
123,-2902.905931239035,2.8749367090003943
124,-2671.667691092699,3.0222648480003045
125,-2671.55405134477,3.0101232460001484
126,-2634.8019489667463,3.037285826000698
127,-2513.7262686278746,3.016837888999362
128,-2605.349291631507,3.014168439000059
129,-2642.3130830962127,3.022206957999515
130,-2554.0545171171066,2.460259615000723
